id,price
1,53832.2
2,63033.34
3,23393.82
4,2386.06
5,5545.51
6,6537.91
7,3904.36
8,13509.83
9,4395.1
10,19343.14
11,4254.76
12,4667.29
13,4443.7
14,51931.24
15,39668.32
16,53973.84
17,55911.94
18,6460.02
19,65528.48
20,7474.690571428571
21,7076.69
22,66634.72
23,45387.86
24,5787.62
25,5373.83
26,4551.78
27,6034.42
28,6062.75
29,4115.19
30,6653.86
31,4832.95
32,66788.38
33,60224.41
34,53656.72
35,9265.76
36,5877.93
37,5121.13
38,44568.27
39,5286.97
40,2269.26
41,9981.49
42,79499.75
43,5241.24
44,3638.27
45,13736.003999999999
46,2880.9
47,5933.96
48,11323.36
49,65053.28
50,6420.49
51,5536.61
52,3022.43
53,6627.18
54,4197.71
55,7441.95
56,3124.52
57,4069.64
58,39269.81
59,3190.95
60,65888.87
61,11318.43
62,46471.55
63,6595.63
64,10488.42
65,56120.97
66,59280.25
67,45107.34
68,13229.73
69,50422.11
70,45257.0
71,5721.71
72,6193.86
73,9977.08
74,7292.98
75,12692.09
76,6518.83
77,6081.44
78,3536.9
79,64763.04
80,11486.77
81,5015.65
82,6634.0
83,7038.58
84,5933.79
85,34243.17
86,60001.31
87,5108.51
88,13151.54
89,60351.87
90,4445.44
91,4629.42
92,63940.54
93,57756.13
94,82908.67
95,44214.85
96,5315.32
97,6319.32
98,15481.37
99,6431.0
100,67169.1
101,4910.9825
102,7973.82
103,6850.13
104,2403.32
105,4985.44
106,7165.7
107,53078.83
108,56994.07
109,42320.67
110,2410.0
111,44113.43
112,53377.21
113,9173.1
114,2459.34
115,3400.98
116,3409.75
117,5618.07
118,3217.81
119,6018.23
120,15449.9
121,58334.55
122,12793.09
123,5991.51
124,45694.9
125,5734.08
126,6635.68
127,6745.25
128,12696.7
129,65646.0
130,3279.87
131,6328.83
132,57062.29
133,5602.73
134,6023.53
135,4183.29
136,46548.48
137,4844.71
138,7403.87
139,4005.28
140,4782.59
141,3436.41
142,51617.17
143,8878.12
144,1714.0
145,54608.0
146,2877.36
147,6367.75
148,11301.83
149,4294.38
150,4614.03
151,8222.8
152,64365.88
153,7812.95
154,7119.41
155,61332.54
156,6342.98
157,6384.85
158,5122.1
159,6368.58
160,4724.76
161,55275.21
162,6966.64
163,68484.56
164,6851.07
165,58871.86
166,33717.51
167,59858.89
168,4165.47
169,10321.26
170,49275.09
171,1859.27
172,7034.12
173,52252.97
174,55128.79
175,5116.48
176,67858.45
177,4174.55
178,4339.11
179,5671.53
180,71975.39
181,28155.07
182,7521.93
183,12394.33
184,6286.85
185,24158.46
186,7979.51
187,8608.63
188,53370.43
189,17078.44
190,7312.02
191,59021.0
192,3145.41
193,56758.37
194,5520.57
195,4470.73
196,6357.39
197,2654.63
198,16222.95
199,11526.08
200,64608.62
201,69679.33
202,13037.18
203,4279.85
204,7355.23
205,61487.03
206,61263.97
207,4197.6
208,45257.0
209,49595.2
210,9163.46
211,58661.01
212,41187.73
213,4297.92
214,4748.82
215,7010.04
216,49959.87
217,4961.39
218,29243.2
219,6921.31
220,3401.85
221,4025.26
222,4546.64
223,22165.32
224,54181.96
225,54642.59
226,12505.73
227,6821.07
228,10273.98
229,5045.15
230,60713.65
231,4371.9
232,5955.0
233,14117.94
234,9795.79
235,3524.35
236,5367.48
237,2719.77
238,3958.58
239,2395.46
240,8662.71
241,61664.2
242,51513.71
243,3654.98
244,60351.69
245,8736.27
246,49613.0
247,53869.42
248,5184.49
249,4879.97
250,68168.77
251,8149.23
252,5263.56
253,52662.04
254,11964.26
255,6337.87
256,70766.06
257,4649.37
258,2217.98
259,4726.88
260,56910.85
261,3546.52
262,6013.41
263,54583.63
264,4063.75
265,7107.37
266,1598.02
267,39110.03
268,49085.37
269,47419.35
270,7962.03
271,6591.5
272,7629.37
273,47982.41
274,31621.83
275,2130.22
276,7875.22
277,28955.6
278,7217.87
279,32701.53
280,6091.46
281,38042.12
282,5416.1
283,5760.38
284,6922.33
285,50021.36
286,6213.39
287,38690.43
288,4683.27
289,60973.26
290,1776.0
291,1593.3
292,6489.92
293,8434.92
294,5620.46
295,4631.31
296,3695.24
297,53971.92
298,14206.4
299,10392.85
300,5493.38
301,61722.92
302,2612.57
303,7233.89
304,11479.28
305,53320.76
306,6445.99
307,54777.99
308,5245.86
309,52416.45
310,15181.19
311,5041.1
312,53726.68
313,4434.87
314,2456.25
315,3651.21
316,33409.61
317,4068.79
318,5551.52
319,9060.57
320,4390.62
321,4346.03
322,61060.42
323,5646.29
324,3376.97
325,6228.89
326,10129.97
327,6282.7
328,4954.32
329,5699.3
330,3555.25
